SOA,SOA Code,All usual residents: Aged 16+ years,Single (never married or never registered a same-sex civil partnership): Aged 16+ years,Married: Aged 16+ years,In a registered same-sex civil partnership: Aged 16+ years,Separated (but still legally married or still legally in a same-sex civil partnership): Aged 16+ years,Divorced or formerly in a same-sex civil partnership which is now legally dissolved: Aged 16+ years,Widowed or surviving partner from a same-sex civil partnership: Aged 16+ years,Single (never married or never registered a same-sex civil partnership): Aged 16+ years (%),Married: Aged 16+ years (%),In a registered same-sex civil partnership: Aged 16+ years (%),Separated (but still legally married or still legally in a same-sex civil partnership): Aged 16+ years (%),Divorced or formerly in a same-sex civil partnership which is now legally dissolved: Aged 16+ years (%),Widowed or surviving partner from a same-sex civil partnership: Aged 16+ years (%)
Aldergrove 1,95AA01S1,757,171,549,2,17,14,4,22.59,72.52,0.26,2.25,1.85,0.53
Aldergrove 2,95AA01S2,1393,402,841,0,43,40,67,28.86,60.37,0,3.09,2.87,4.81
Aldergrove 3,95AA01S3,1194,371,662,0,44,54,63,31.07,55.44,0,3.69,4.52,5.28
Balloo,95AA02W1,1468,513,620,0,75,109,151,34.95,42.23,0,5.11,7.43,10.29
Ballycraigy,95AA03W1,1436,515,568,0,93,136,124,35.86,39.55,0,6.48,9.47,8.64
Clady,95AA04W1,2373,722,1394,2,68,87,100,30.43,58.74,0.08,2.87,3.67,4.21
Cranfield,95AA05W1,2083,657,1164,0,51,83,128,31.54,55.88,0,2.45,3.98,6.14
Crumlin 1 (Antrim LGD),95AA06S1,1437,482,721,1,84,55,94,33.54,50.17,0.07,5.85,3.83,6.54
Crumlin 2 (Antrim LGD),95AA06S2,1909,665,991,2,86,74,91,34.83,51.91,0.1,4.5,3.88,4.77
Drumanaway,95AA07W1,1714,537,929,0,62,96,90,31.33,54.2,0,3.62,5.6,5.25
Farranshane,95AA08W1,1347,533,503,1,82,138,90,39.57,37.34,0.07,6.09,10.24,6.68
Fountain Hill,95AA09W1,1772,623,746,1,100,147,155,35.16,42.1,0.06,5.64,8.3,8.75
Greystone (Antrim LGD),95AA10W1,1551,555,733,0,72,97,94,35.78,47.26,0,4.64,6.25,6.06
Massereene 1,95AA11S1,2227,745,1079,9,83,121,190,33.45,48.45,0.4,3.73,5.43,8.53
Massereene 2,95AA11S2,1925,618,1096,2,69,80,60,32.1,56.94,0.1,3.58,4.16,3.12
Parkgate,95AA12W1,2162,564,1364,3,35,69,127,26.09,63.09,0.14,1.62,3.19,5.87
