SOA,SOA Code,All usual residents,General health: Very good health,General health: Good health,General health: Fair health,General health: Bad health,General health: Very bad health
Aldergrove 1,95AA01S1,1113,749,321,39,4,0
Aldergrove 2,95AA01S2,1829,1017,558,206,39,9
Aldergrove 3,95AA01S3,1502,799,489,184,24,6
Balloo,95AA02W1,1734,662,579,352,111,30
Ballycraigy,95AA03W1,1822,677,669,352,98,26
Clady,95AA04W1,3013,1550,1037,346,65,15
Cranfield,95AA05W1,2701,1365,880,325,104,27
Crumlin 1 (Antrim LGD),95AA06S1,1953,1058,559,238,75,23
Crumlin 2 (Antrim LGD),95AA06S2,2694,1456,800,330,91,17
Drumanaway,95AA07W1,2140,1018,736,301,72,13
Farranshane,95AA08W1,1698,715,571,296,78,38
Fountain Hill,95AA09W1,2220,872,774,422,134,18
Greystone (Antrim LGD),95AA10W1,1953,807,698,320,99,29
Massereene 1,95AA11S1,2800,1354,894,426,95,31
Massereene 2,95AA11S2,2564,1441,821,230,65,7
Parkgate,95AA12W1,2775,1530,909,268,57,11
Randalstown 1,95AA13S1,1745,873,569,234,55,14
Randalstown 2,95AA13S2,1562,798,487,212,47,18
Shilvodan,95AA14W1,2349,1174,765,345,50,15
Springfarm 1,95AA15S1,2641,1367,882,291,76,25
Springfarm 2,95AA15S2,1545,748,514,188,66,29
Steeple,95AA16W1,1807,716,652,308,95,36
Stiles,95AA17W1,2142,1029,688,291,105,29
Templepatrick,95AA18W1,2439,1212,827,316,70,14
Toome,95AA19W1,2687,1459,786,345,84,13
Ballygowan 1,95BB01S1,1574,822,514,192,37,9
Ballygowan 2,95BB01S2,2035,965,747,261,53,9
Ballyrainey,95BB02W1,2347,815,827,490,165,50
Ballywalter 1,95BB03S1,2026,815,699,382,99,31
Ballywalter 2,95BB03S2,2193,905,786,370,112,20
Bradshaw's Brae 1,95BB04S1,1438,534,548,271,75,10
Bradshaw's Brae 2,95BB04S2,1610,765,567,226,43,9
Carrowdore 1,95BB05S1,1490,714,510,210,43,13
Carrowdore 2,95BB05S2,1911,865,641,300,82,23
Central (Ards LGD),95BB06W1,2870,1006,991,621,186,66
Comber East 1,95BB07S1,1658,652,537,351,91,27
Comber East 2,95BB07S2,1295,585,481,185,29,15
Comber North 1,95BB08S1,1331,507,416,290,93,25
Comber North 2,95BB08S2,1294,639,446,163,36,10
Comber West 1,95BB09S1,1325,577,493,210,41,4
Comber West 2,95BB09S2,1618,776,586,215,33,8
Donaghadee North 1,95BB10S1,1690,688,589,313,75,25
Donaghadee North 2,95BB10S2,1637,817,582,190,37,11
Donaghadee South 1,95BB11S1,1408,532,504,281,70,21
Donaghadee South 2,95BB11S2,1547,578,503,346,89,31
Glen 1,95BB12S1,1440,573,506,255,85,21
Glen 2,95BB12S2,1336,705,444,153,29,5
Gregstown 1,95BB13S1,1392,709,457,163,48,15
Gregstown 2,95BB13S2,1472,576,527,255,89,25
Gregstown 3,95BB13S3,1580,807,527,199,36,11
Killinchy 1,95BB14S1,1510,765,520,184,35,6
Killinchy 2,95BB14S2,1606,815,556,183,42,10
Kircubbin 1,95BB15S1,2005,1034,590,280,81,20
Kircubbin 2,95BB15S2,1484,660,517,226,63,18
Lisbane 1,95BB16S1,1533,733,543,209,43,5
Lisbane 2,95BB16S2,1603,845,518,205,31,4
Loughries 1,95BB17S1,1793,813,644,255,61,20
Loughries 2,95BB17S2,1763,786,619,278,69,11
Millisle 1,95BB18S1,1688,678,558,310,113,29
Millisle 2,95BB18S2,2591,1302,850,317,102,20
Movilla 1,95BB19S1,1613,672,594,267,72,8
Movilla 2,95BB19S2,1784,937,637,153,52,5
Movilla 3,95BB19S3,1391,737,481,143,24,6
Portaferry 1,95BB20S1,1889,929,542,298,95,25
Portaferry 2,95BB20S2,1524,660,455,258,126,25
Portavogie 1,95BB21S1,2387,1002,828,395,123,39
Portavogie 2,95BB21S2,2332,1102,749,361,93,27
Scrabo 1,95BB22S1,1557,721,527,225,65,19
